tick,score,bits,is_best
250,6.0,0101000011111111,0
251,10.0,1101010100000100,0
252,10.0,0101011001100111,0
253,6.0,1011110111111001,0
254,10.0,0111010101100001,0
255,8.0,1011110100000110,0
256,8.0,0101100000111010,0
257,10.0,0000110101110101,0
258,8.0,0110010100000010,0
259,10.0,1010111100101101,0
260,8.0,1110101000111110,0
261,6.0,0111111010111100,0
262,8.0,0110010111100110,0
263,8.0,0001000101100010,0
264,6.0,0000000011001101,0
265,8.0,1000000111010100,0
266,10.0,1011100100010100,0
267,8.0,1110000010100101,0
268,10.0,1000101010000101,0
269,6.0,1100110001111110,0
270,2.0,1000000000001111,0
271,8.0,0110110000100001,0
272,6.0,0000111111011010,0
273,10.0,0110101001011100,0
274,8.0,1000100111011000,0
275,8.0,1010111010001111,0
276,10.0,0010011101010001,0
277,8.0,1100110101011111,0
278,10.0,0010011010100110,0
279,8.0,1101101000001011,0
280,10.0,0101011100010111,0
281,8.0,0001010000101111,0
282,6.0,1110010000011110,0
283,8.0,0010001110110110,0
284,6.0,1111101100001001,0
285,8.0,1011001000000100,0
286,8.0,1011100000101100,0
287,8.0,1100000010010100,0
288,6.0,0001111110011011,0
289,4.0,0111111110001110,0
290,10.0,1001011100110101,0
291,8.0,0100000101011000,0
292,6.0,0011010011110000,0
293,10.0,0110011010011001,0
294,12.0,1011101010110010,0
295,6.0,1111100001010000,0
296,10.0,1010000101010001,0
297,10.0,1001101101110101,0
298,8.0,0110100110000001,0
299,6.0,0010001000111111,0
300,4.0,0100001111111000,0
301,6.0,1111100011101000,0
302,6.0,0001000010000111,0
303,10.0,0110001011001011,0
304,4.0,0111000000000100,0
305,10.0,0011101000100101,0
306,8.0,1100001001110010,0
307,6.0,0000010001001111,0
308,8.0,0000010010010110,0
309,8.0,0000101011101100,0
310,6.0,1111110110000101,0
311,10.0,0110010111000101,0
312,6.0,0011100011101000,0
313,6.0,0010011100011000,0
314,8.0,1111010100111011,0
315,6.0,1000111001111110,0
316,8.0,1110011110010100,0
317,4.0,1111000111000111,0
318,4.0,1111000011000011,0
319,6.0,0110001111011111,0
320,8.0,1000010100111001,0
321,10.0,0001010100100100,0
322,6.0,0000110000011001,0
323,4.0,0000011011111100,0
324,8.0,0100110100000001,0
325,8.0,0110001011100010,0
326,10.0,0101001000010011,0
327,12.0,0110010100101011,0
328,8.0,1000101101100011,0
329,8.0,0101001111100111,0
330,8.0,0100011010011100,0
331,6.0,0011000011100010,0
332,8.0,0001000010100111,0
333,10.0,0111001100101001,0
334,10.0,1101110010100110,0
335,6.0,1111001100001001,0
336,10.0,1001010110010011,0
337,8.0,1000001001010111,0
